ANT1,19.86,-7.98,0.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,17.94,3.29,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-10.53,-1.02,180.00,10uF,NORDIC_NRF_3_RESC0402_L
C10,17.72,1.84,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,15.72,4.98,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,15.71,5.56,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,5.89,-2.27,180.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,12.45,7.69,180.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C15,14.67,7.71,0.00,1.0µF,NORDIC_NRF_3_RESC0402_L
C16,15.16,9.33,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C17,5.96,7.59,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,6.95,7.59,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,6.32,12.06,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,15.79,4.39,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-4.79,-2.23,180.00,4.7uF/25V,NORDIC_NRF_3_RESC0402_L
C20,17.79,8.35,0.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C21,6.40,1.24,0.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C22,16.66,0.74,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,-9.68,12.79,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,-11.29,11.83,90.00,10uF,NORDIC_NRF_3_RESC0402_L
C25,-8.71,8.63,90.00,22uF,NORDIC_NRF_3_RESC0402_L
C26,-17.23,13.22,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,-8.22,-14.52,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,15.58,-1.03,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,2.79,-13.42,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C31,13.65,-13.50,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C32,-15.63,8.88,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C33,-9.61,8.65,90.00,22uF,NORDIC_NRF_3_RESC0402_L
C34,-15.83,11.54,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,-11.45,13.72,270.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C38,-10.49,15.34,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C39,-8.57,13.52,180.40,10uF,NORDIC_NRF_3_RESC0402_L
C4,15.80,0.74,90.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,-2.21,1.79,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,-3.18,1.41,90.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C5,8.85,6.85,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,6.25,2.89,0.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C7,5.31,0.06,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,8.86,-2.09,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,15.54,-0.19,0.00,820pF,NORDIC_NRF_3_RESC0201_L
D2,-2.87,-5.76,270.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,-2.23,4.60,90.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,-4.25,-5.74,90.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,-5.61,-5.75,90.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1,-10.53,3.42,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C10,-10.53,-6.07,0.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C11,-10.53,-6.92,0.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C12,-10.52,-7.73,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C2,-10.53,4.18,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C5,-10.53,-2.00,0.00,0.1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C6,-10.53,-2.76,0.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C7,-10.53,-3.51,0.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C8,-10.53,-4.46,0.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C9,-10.53,-5.31,0.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
IC1,-10.46,14.77,270.00,BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,-15.36,10.18,180.00,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,6.69,14.56,0.00,BMA421,BMA423_BMA423
IC9,-9.50,11.00,0.00,RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,-13.11,0.00,270.00,503480-2400_503480-2400,503480-2400_5034802400
J2,10.11,-7.83,180.00,TC2030-IDC,TC2030-IDC_TC2030IDC
J4,-0.30,13.49,180.00,KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,17.01,-0.96,0.00,3.9nH,NORDIC_NRF_2_RESC0402_L
L2,10.70,10.80,90.00,10µH,MLP2016SR47MT0S1_INDC2016X100N
L3,13.25,10.70,270.00,15nH,MLP2016SR47MT0S1_INDC2016X100N
L5,-16.73,-11.84,180.00,68uH,ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7,-6.73,10.98,90.00,FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q1,-6.52,6.78,270.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,-7.13,0.13,90.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,-12.72,9.71,0.00,3K3,CPF0201D7K68C1_0201
R18,-20.12,13.47,108.60,3K3,CPF0201D7K68C1_0201
R1_EP_DR,-5.11,0.13,0.00,0.47,CPF0201D7K68C1_0201
R1_USB,-0.24,1.73,270.00,5K1,CPF0201D7K68C1_0201
R2,-10.67,10.87,0.00,0,CPF0201D7K68C1_0201
R2_EP_DR,-8.71,-0.81,180.00,10k,CPF0201D7K68C1_0201
R2_USB,-1.18,1.95,0.00,5K1,CPF0201D7K68C1_0201
R3,5.34,13.07,90.00,0,CPF0201D7K68C1_0201
R4,-11.57,9.11,0.00,0,CPF0201D7K68C1_0201
R5,2.75,-14.23,0.00,10k,CPF0201D7K68C1_0201
R7,-8.13,-13.53,90.00,10k,CPF0201D7K68C1_0201
R8,13.75,-14.23,0.00,10k,CPF0201D7K68C1_0201
R9,-11.41,15.40,270.00,10k,CPF0201D7K68C1_0201
R_PWR_EPD,-8.51,6.69,0.00,10k,CPF0201D7K68C1_0201
R_TYPE_SEL,-5.15,1.25,180.00,2.2,CPF0201D7K68C1_0201
SJ1,-7.14,3.53,0.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,-11.05,-14.15,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,-0.04,-14.15,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,11.04,-14.15,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,9.60,14.93,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,-4.38,-14.76,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,-21.03,-8.97,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND1,-18.54,12.62,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND2,-6.69,-14.69,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,-20.93,8.97,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,-18.58,8.97,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,6.62,-14.66,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,-12.75,11.45,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,-20.77,11.41,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,17.62,-15.07,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,15.47,-15.43,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,4.26,-14.64,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,-6.25,14.03,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,11.27,2.65,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,-15.46,13.66,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,16.17,2.71,90.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,5.81,5.43,270.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
